inspection_id,law,violation_comments,corrective_comments
6608629,4-302.12,"THERE WERE TWO NON-WORKING NEEDLE PROBE THERMOMETERS IN THE KITCHEN - ONE WAS MISSING A BATTERY HOLDER, AND THE OTHER HAD A DEAD BATTERY.","SWITCHED THE BATTERY TO THE OTHER ONE, AND THIS ONE IS NOW WORKING.GOOD.***CORRECTED***"
6608629,3-203.12,OPERATOR IS NOT DATING THE MUSSEL TAGS WTH THE DATE THAT THEY WERE USED. UP.,START TODAY.SINCE THIS IS A REPEATING VIOLATION I WILL RECHECK ON THIS VIOLATION.
9004931,3-501.16,"At wait station, the under counter reach-in 48.7 - 50F. It appeared that the cooler was not shut tight.",Corrected by PIC transfer milkand half and half in the back cooler. And shut the cooler tight so that the cool air doesn't escape.
3404552,"","",""
9904013,6-201.14,2 rugs are on floor in kitchen.,"Use only smooth, nonabsorbent, and easily cleanable mats/floor coverings in kitchen."
9904013,6-501.11,There is a leak in the ceiling near the customer self service condiment bar.,"Repair leak. Until repair, ensure no food or clean dishes/linens are placed under leak."
9904013,6-501.12,"Floors, walls, and equipment throughout facility have buildup of grease and other food debris and soils.",Clean and maintain.
9904013,6-501.114,"Pantry and back storage room have accumulation of unused furniture, equipment, boxes, etc. This creates potential harborage conditions for pests.",Remove unnecessary clutter from establishment.
9904013,5-402.11,"Chicken is thawing (in standing water) in directly drained 3-compartment sink. Because no air break is provided on drain, this creates unnecessary risk of backflow contamination of food.","CORRECTED DURING INSPECTION by removing chicken from sink and reviewing requirement that if sinks are used for any food preparation, food must never be left unattended below sink rim."
9904013,4-602.13,"Equipment, shelving, tables, sinks, etc. are visibly soiled with grease, food debris.",Clean and maintain.
9904013,3-305.11,- Uncovered vegetables are stored near leaking condenser in walk-in cooler. - Shelves above toasters have heavy dust buildup.,- Do not store uncovered foods below/near condenser leak.- Clean shelves to avoid contaminating food below.
9904013,4-302.12,"Facility prepares thin foods such as burger patties, but does not have a thin tipped / tip sensitive food thermometer. (Also, analog thermometers provided only measure 50F+ temperatures.)","Provide thin tipped / tip sensitive food thermometer that measures 0-220F. DEEMED CORRECTED by operator agreeing to provide tip sensitive thermometer. NOTE THAT IF NOT PROVIDED ON NEXT INSPECTION, THEN IT WILL BE A REPEAT VIOLATION WORTH DOUBLE POINT DEDUCTION (6)."
9904013,3-501.13,Chicken is being thawed in standing water.,Corrected during inspection by removing chicken from standing water and reviewing proper thawing methods with Cook.
9904013,"3-501.19(B)(1,3,4)(C)(1,4,5)","Cut lettuce with hot brine is left on the counter for unmeasured lengths of time. Operator states it only lasts a limited time (and is reheated per order), but time is not tracked in writing.","CORRECTED DURING INSPECTION by drafting written Time as Public Health Control Policy and operator agreeing to start writing times that hot lettuce salad is prepared (other than during busy meal times when batch will last <20-30 minutes). (Operator discarded current batch of salad without prompting from inspector during current inspection.)- Also reviewed Food Sanitation Rule requirement that even though salad is reheated per order, it still is subject to temperature control for room temperature storage on counter."
8404137,7-102.11,A number of spray bottles with no clear indication of contents.,***CORRECTED*** Containers labeled
9904160,3-501.17,Open containers of tomato juice and half and half are not date marked.,CORRECTED DURING INSPECTION by discarding half and half (open date unknown) and operator agreeing to inform staff that dairy and tomato juice products must be date marked when they are opened (and any remaining after 7 days must be discarded). SEE HANDOUTS ON DATE MARKING AND TOMATO PRODUCTS.
9904160,5-202.12(A),Hot water at bar and restroom hand washing sinks does not reach 100F.,"CORRECTED DURING INSPECTION by relighting pilot light on water heater. If this is a common occurrence, then please add checking pilot light to opening duties list."
7906024,4-501.114(A),NO CHLORINE SANITIZER IN THIRD SINK FULL OF WATER & WASHED DISHES,"EDUCATED ON USE OF TEST PAPERS, MEASURED, ADDED BLEACH TO 100 PPM FOR CORRECTION"
6004167,3-501.16,"HAM & CHEESE CROISSANTS IN DISPLAY CASE NOT REFRIGERATED, TEMPED AT 67 F, HELD OVER 4 HOURS.",**CORRECTED** CROISSANTS DISCARDED. PERSON-IN-CHARGE WILL STORE CROISSANTS IN THE REFRIGERATOR HOLDING AT OR BELOW 41 F.
8204706,3-501.17,Observed opened containers of whipping cream and half and half in walk-in and bar fridge to be without date marks. Operator stated they had been opened earlier in the week (2 days prior to inspection).,*CORRECTED* DATE MARKED ALL OPENED WHIP CREAMS AND HALF AND HALF.
8204706,3-501.14,Observed temperature of Avoglegamono soup in large containerfrom walk-in frigdg to be at 47 F. PIC stated it had been cooling since the previous night (14 hours).,*CORRECTED* SOUP DISCARDED. PLEASE COOL IN PAN NOT GREAT THAN 4 INCHES DEEP. DISCUSSED COOLING RULE.
8106554,3-502.12(A)(B)(4)(C)(D)(2b-e)(E)(1),"ROPing CHEESES, RAW FISH AND MEATS.",ALL RAW FISH AND MEATS PRODUCTS WERE CUT OPEN.PROCESS NEEDS AN APPROVED HACCP PLAN PRIOR TO ALLOWING PROCESS. CEASE AND DESIST.
6205234,"","",""
8106625,3-201.11(A)(B)(H)(I)(J)(K),MEATBALLS/MEAT PRODUCTS PURCHASED FROM 24TH AND MEATBALL (LICENSED RESTAURANT).,PURCHASING MEAT/COOKED MEAT PRODUCTS FROM OTHER RESTAURANT NOT PERMITTED; NOT AN APPROVED SOURCE.CEASE AND DESIST.
8106625,3-501.18(A),MADE IN-HOUSE RUSSIAN DRESSING DATED 2/2 FOUND IN TWO DOOR TRUE REFRIGERATOR.,DISCARDED AT THE TIME OF INSPECTION. PRIORITY CORRECTED.
9505548,"","",""
8204721,"3-501.19(A)(B)(2)(C)(2,3)",Not keeping current written procedure for quiche and creamers. Time as public health control has not been properly monitored for phf. All quiche had been sold this morning and had not exceeded 4 hours according to PIC. Observed logs had not been kept since July of this year.,*CORRECTED* WRITTEN LOGS ARE NOW PREPARED IN ADVANCED AND WILL BE MAINTAINED DAILY. TIME AS A PUBLIC HEALTH CONTROL APPROVED AT INSPECTION.
8106538,3-501.16,PRODUCT TEMPERATURES IN PREP REFRIGERATOR (FACING GRILL-FARTHEST LEFT) AT 49-53 DEGREES.,"DISCARDED CUT TOMATOES, VEGGIE BURGERS AND CARMELIZED ONIONS.ALL OTHER PRODUCTS NOT PORTENTIALLY HAZARDOUS.WILL FOLLOW UP IN 14 DAYS ON REFRIGERATION UNIT."
3404477,5-402.11,Food prep sink plumbing extends into the drain and has no backflow prevention.,Please repair ASAP. I will recheck in 2 weeks. Call (971) 227-1916 if you repair this sooner and I will recheck.
3404477,4-202.16,Wall in food prep area is soiled and the baseboard is separating from the wall. Inside of the baseboard is filled with old food and debris. It is not easily cleanable and requires repair.,Please repair and clean this area of debris.
3404477,3-501.17,Hotel pan of soup from yesterday in the walk in with no date-marking.,***Corrected by educating and adding date-marking.***
8204747,4-501.114(A),Observed no detectable chlorine after running ware washer. Determined sanitizer solution to be empty.,*CORRECTED** REPLACED EMPTY SANITIZER SOLUTION WITH NEW FULL ONE AND DETECTED 50 PPM CHLORINE. PLEASE CHECK SANITIZER MORE REGULARLY.
8204747,"3-302.11(A)(1,2)",Observed in walk-in freezer raw hamburger stored over ready-to-eat dessert.,*CORRECTED** RAW HAMBURGER PATTIES MOVED TO BOTTOM SHELF BELOW READY-TO-EAT FOODS.
8505695,"","",""
6004240,6-301.11,Handsoap container is empty at sink located in back kitchen area.,**Corrected** food handler will use front counter handsink that is stocked with soap and paper towels. You must have all handwash sinks stocked and accessible at all times.
7905854,3-501.17,"SOME FOOD NOT DATE (COOKED POTATOES, MEAT PRODUCT); CONTAINER OF MEAT DATED 10/18 OPERATOR SAID CAME FROM FREEZER BUT WAS NOT DATED WITH SECOND DATE FROM FREEZER.ALSO A COUPLE ITEMS DATED 10/6 WHICH SHOULD HAVE BEEN DISCARDED YESTERDAY",DATE ALL COOKED COOLED FOODS AND ADD 6 TO MAKE DATE TO NOT EXCEED 7 DAYS - DISCARD; OPERATOR SAID THEY WEREN'T HERE YESTERDAY BECAUSE OF THE WEATHER FORCAST - DISCARDED THE FOODS TODAY BE SURE TO ADD ONLY 6 TO MAKE DATE OR 5 TO THE DEFROST DATE TO NOT PASS 7 DAY TOTALS FOR COOKED COOLED FOODS.THANK YOU. - CORRECTED
7905854,6-301.12,NO PAPER TOWELS AT BAR HAND SINK,PROVIDED FOR CORRECTION
6608798,6-201.13,FLOOR TILES AND WALL FLOOR JUNCTION TILES WERE BROKEN AND MISSING.,REPLACE.
6608798,6-501.12,THE FLOOR BY THE DRIVE THROUGH WINDOW WAS SOILED IN THE CORNERS AND UNDER THE EQUIPMENT.,""
6608798,5-205.15(B),FACILITY HAS PUT A METAL SCREEN IN THE FLOOR SINK WHERE THE 3RD COMPARTMENT OF THE THREE COMPARTMENT DRAINS TO.THE 3RD COMPARTMENT WAS DRAINING WHEN I ENTERED AND IT COULD NOT PASS THROUGH THE SCREEN FAST ENOUGH AND FLOODED THE FLOOR AND RAN TO A FLOOR DRAIN AROUND 8 FEET AWAY.,FIND A SOLUTION TO PREVENT THIS.CONSIDERED INSTALLING FLOW RESTRICTERS IN THE SINKS.
6608798,4-204.112(A)(B)(D),MISSING A THERMOMETER IN THE ONE DOOR REFRIGERATOR BY THE DRIVE THROUGH WINDOW.,""
8704454,3-501.17,"Multiple trays of cooked chicken, both plain and breaded, as well as bacon not date marked in the walk in cooler",***Corrected***Discussed with PIC. PIC will have all cooked foods datemarked.
8704454,3-501.16,"Cheese stacked in top portion of reach in cooler on the line temped at 52 F, milk in top portion of reach in cooler in the icecream area temped at 56F and beans in hot holding container temped at 33F.","***Corrected***PIC removed large amount of cheese from cooler top and placed inside the cooler(cheese was stacked over the top portion of the cooling area and out of cooling range),milk for smoothies was moved to the inside of the reach in cooler. Beans were turned up - temped at 139F"
3404584,93D,"Please add a red fluid thermometer to the walk-in, as the built-in thermometer is not working. Also add a red fluid thermometer to the front service line reach-in.",""
3404584,3-305.11,"Dried beans, rice, and other dry goods are stored in containers with no lids. A dirty wiping cloth and a roll of garbage bags were observed intermingled in the dried beans. Also an employee jacket was hanging over the container of dried beans as well and could potentially contaminate these items.",***CORRECTED*** PIC added lids to these items and removed the intermingled items.
3404584,3-501.16,Front service area reach-in refrigeration unit is not maintaining proper cold holding temp. Temperature was at 45 F even after turning down the unit.,All potentially hazardous foods have been moved to the walk-in unit until this unit is repaired. I will be back within 2 weeks to recheck.
3404584,6-301.11,No hand soap available at back of house food prep area hand sink.,***CORRECTED*** by PIC adding hand soap and educating as to the importance.
3404584,6-301.12,No hand towels available at front service line hand sink and no paper towels available at back of house food prep hand sink.,***CORRECTED*** by PIC adding paper towels to the dispensers at both hand sinks and education.
8106507,"","",""
9505900,"","",""
8106305,"","",""
7704712,3-501.14,"Smoked tomato and basil soup made yesterday has an internal temperature of 60F, cooled in a large 5 gallon pot in the 4 door reach in refrigerator.","****Cooling shall be done quickly. Use ice bath and stir frequently. 2 hrs to get the product down to 70F, then 4 more hrs to get to 41F. Product discarded at inspection."
7704712,2-401.11,Employee at the front counter is drinking out of an unapproved beverage container.,***Personal beverages should be in approved containers while behind the counter and in the kitchen area. Employee moved to the lobby tables. CORRECTED. Lid was placed on container.
8505287,"","",""
8404259,"","",""
9005097,3-501.18(A),Pre-cooked meatballs in the ziplock bag dated 11/20/2014. It pasted 7 days.,Corrected by the chef discarding the expired food meatballs during inspection
9005097,3-501.17,"Pre-cooked meatballs in plastic container stored in walk-in without date-mark. PIC stated that he cooked these food items on 11/27/2014, but forget to date them.",Corrected by the chef dating the pre-cooked meatballs on 11/27/2014 during inspection
8505773,3-304.12,2 Knives between sandwich cooler and table. Corrected by switching in-use knives to a third pan with ice and water to cover blades.,""
8505773,3-501.18(A),Veggie burgers and SW tofu dated 3/6. This product should have been discarded today before service or last night.,***Corrected by discarding. Manager knew 7 day rule and is going to begin writing the discard date on products rather than make date.
8404069,3-501.16,Temperature of sliced ham and sausage in inserts of prep refer in kitchen noted at 50°F and 51°F respectively.,***CORRECTED*** Issue discussed. Ham and sausage discarded. Unit holding only non-PHFs until repaired/readjusted.
8404069,6-301.12,No paper towels available at bar or kitchen sink.,***CORRECTED*** Operator immediately provided towels.
9005007,4-501.114(A),Dishwasher dispensing between 25ppm - 40ppm. As the dishwasher to mamually inject the sanitizer buttom at rinse cycle. 50 - 200ppm is required.,The owner scheduled with the dishwasher tech during inspection. Ideally adjust the dishwasher to inject at 100ppm chlorine residual at final rinse.
9005007,3-203.12,None of the shellfish tags have sold dates.,Discussed with the owner/operator during inspection about the shellfish tags requirement.
8106581,"","",""
9903951,3-305.14,Hood has heavy dust buildup (potential to contaminate exposed foods during cooking).,Clean and maintain.
9903951,4-301.11,"INFORMATIONAL ONLY; NOT A CITATION.-According to MCEH records, this facility was approved for cooking meats and holding them hot only (not cooling), due to limited refrigeration provided (2 reach-in coolers). However, cooked meats are being cooled. (Brisket that finished cooking about 1.5 hour ago has internal temperature 138F, shredded beef in shallow pan that finished cooking 2 hours ago has internal temperature 77F - PIC stirred to speed cooling even further. PIC has good knowledge of time/temperature requirements for cooling.) PIC states he thinks that the cooling procedures currently being used were discussed and approved by MCEH. Inspector will investigate history to see if note is outdated due to later agreement with MCEH.",""
9903951,3-301.11,"INFORMATIONAL ONLY; NOT A CITATION. Develop methods to minimize bare hand contact with ready to eat foods -- for example, use gloves or tongs to handle corn muffins.",""
6805853,"","",""
7905836,7-202.12(A)(2)(3)(B),QUAT SANITIZER DISPENSING AT WELL OVER 400 PPM,WORKED TO DILUTETO 2-300 PPM (took abt 75% water to chemical) MANAGER to CALL CHEMICAL COMPANY TO RECALIBRATE DISPENSERS & EDUCATE STAFF also - CORRECTED
9505655,"","",""
8106412,4-302.12,THIN TIP THERMOMETER NOT PROVIDED AND/OR AVAILABLE.,PURCHASE THIN TIP THERMOMETER.WILL FOLLOW UP IN 14 DAYS.
8404119,"","",""
8204838,"3-302.11(A)(1,2)",Observed raw salmon over ready-to-eat foods (pork shumai dumplings) in freezer located in back work area.,*CORRECTED** RAW SALMON MOVEDTO BE UNDER AND AWAY FROM READY-TO-EAT FOODS.
6608929,4-204.112(A)(B)(D),MISSING A THERMOMETER IN THE 2 DOOR LOWBOY COOLER IN THE COOKLINE AREA.,PLEASE PROVIDE.
9505550,"3-302.11(A)(1,2)",OBSERVED A SMALL PAN HOLDING A WHOLE RAW FISH STORED OVER CONTAINERS OF SOY SAUCE IN THE WALK-IN.THE FISH IS THE OWNER'S PERSONAL FOOD.,"CORRECTED, RAW FISH REMOVED.DO NOT STORE RAW MEAT OVER SAUCES.DO NOT KEEP PERSONAL FOOD OVER FOOD THAT THE CUSTOMERS WILL EAT."
7906208,97A,OBSERVED LARGE & SMALL CLAM SHELLS FOR TO GO,""
7906208,4-202.16,MUCH STORAGE IN BACK IN CARDBOARD BOXES,"REMOVE ALL CARDBOARD BOXES USED TO STORE THINGS, AND REPLACE WITH CLEANABLE PLASTIC CONTAINERS TO PREVENT FURTHER ROACH HARBORAGE"
7906208,4-601.11(B)(C),"DOORS OF EQUIPMENT, ALL AROUND COOK LINE, FLOOR DRAINS, DISHWASHER AREAS, TAKE OUT CONTAINER STORAGE, ON ROLLING CARTS, ETC",CONTINUE TO CLEAN ALL AREAS AND SURFACES OF KITCHEN TO PREVENT BUILD UP OF PESTS.WILL RECHECK
7906208,6-501.111(A)(B)(D),"ONGOING PRESENCE OF BUILT UP GREASE ON EQUIPMENT ON COOK LINE;LOTS OF CARDBOARD BOXES STILL PRESENT;MANY UNUSED CONTAINERS, EQUIPMENT, ETCALL OVER KITCHEN & STOREROOM","WILL RECHECK FOR REMOVAL OF MUCH OF THIS STUFF & REMOVAL OF FULL TRAPS, MORE DEEP CLEANING;NO DEAD OR ALIVE ROACHES FOUND TODAY IN FOOD OR REFRIGERATORS OR FOOD CONTAINERS - PROGRESS IS BEING MADE, BUT PLEASE MAINTAIN & CONTINUE TO CLEAN.REMEMBER:CLEAN DO NOT SPRAY POINSON"
7906208,7-206.11,HOME SPRAYCANS OF RAID (ABOUT 5 CANS THROUGHOUT),"HAD THEM DISCARDED & EDUCATED THAT WHEN THEY SEE ROACHES THEY NEED TO CLEAN MORE, NOT SPRAY POISON;MUST RECHECK"
7906208,7-102.11,SPRAY BOTTLE BY DISHWASHER WITH NO LABEL,DETERMINED IT WAS DISH WASHER DETERGENT & HAD IT LABELED IN ENGLISH & CHINESE FOR CORRECTION
7906208,3-203.12,BAG OF OYSTERS PRESENT HAS TAG WITH THEM BUT NO PAST TAGS PRESENT,EDUCATED TO KEEP FOR 3 MONTHS AND PUT LAST DATE OF USE ON TAG WHEN PRODUCT IS GONE - THEN KEEP FOR VERIFICATION - WILL RECHECK
6806018,3-201.16,FOR INFORMATIONAL PURPOSES,""
8505454,3-501.13,Meat thawing in kitchen sink in stagnant water. Meat thawing in reachin unit on top of inserts. Corrected by expalining and setting up proper thawing with products in running water.,""
8505454,3-304.14,No saniation bucket available on line. Please mix one up each morning and keep on line to wipe down work surfaces.,""
8505454,3-304.12,Rice paddle in 112F water. Corrected and changed to ice water instead.,""
8505454,4-204.112(A)(B)(D),There are many air/ambient thermometers that are broken. Please replace immediately.,""
8505454,4-601.11(A),ALL of the reachins are in need of cleaning. There is old and molding food in gaskets and on shelves.,"***Corrected by washing, rinsing and sanitizing all units. Please include all refirgeration units in the thorough cleaning."
8604939,3-501.16,"Cooked shrimp, noted at 95Â°F sitting at room temperature.",***CORRECTED*** Item discarded.
8604939,3-501.14,Large pot (approx 1.5 gal) of potentially hazardous food placed in reach-in cooler with inadequate capacity to handle the additional load.,***CORRECTED*** Item placed in appropriate refrigerator. Issue discussed.
8604939,4-601.11(A),Stored knives at kitchen work station soiled with food debris.,***CORRECTED*** Items washed and sanitized. Issue discussed.
8604939,4-703.11,No detectable sanitizer in final rinse of mechanical dish mashine.,***ALTERNATIVE PROCEDURE PUT IN PLACE*** Soak washed dishes in 100 ppm chlorine for 30 seconds until dish machine repaired.
8604939,2-301.12,"Noted hand washing procedure by some staffto be rinsing hands under running water, without use of soap or adequate friction.",***CORRECTED*** Issue discussed.
8604939,2-401.11,Cook using inappropriate beverage container.,"***CORRECTED*** Container removed, issue discussed."
8505785,"","",""
6608778,6-501.111(C),SAW BETWEEN 15 AND 20 SMALL FLIES IN THE KITCHEN.,FOLLOW STEPS LISTED IN THIS REPORT AND THOSE BY YOUR PEST CONTROL SERVICE.I WILL RECHECK ON THIS.
6608687,4-602.13,THE INTERIOR OF THE KEG COOLER HAS BUILD UP IN THE BAR.,CLEAN.
6608687,6-501.12,THE FLOORS UNDER AND AROUND THE EQUIPMENT IN THE KITCHEN WERE SOILED.,""
6608687,6-501.114,THERE ARE MANY UNNECESSARY ITEMS IN THE KITCHEN.,""
6608687,3-501.17,CUT TOMATOES IN THE WALK-IN COOLER WERE NOT DATE LABELED.,***CORRECTED*** LABELED.
